kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,yerlesen_sayisi,doluluk_orani,taban_puan,taban_siralama
105310425,İNÖNÜ ÜNİVERSİTESİ (MALATYA),Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,44.0,MALATYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,80.0,,,389.19712,118719.0
200510685,BAHÇEŞEHİR ÜNİVERSİTESİ (İSTANBUL),Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),Bilgisayar Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,,,,348.03826,178136.0
200510685,BAHÇEŞEHİR ÜNİVERSİTESİ (İSTANBUL),Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),Bilgisayar Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,50.0,,,406.74654,75701.0
200510685,BAHÇEŞEHİR ÜNİVERSİTESİ (İSTANBUL),Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),Bilgisayar Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,33.0,,,473.62029,37603.0
200510685,BAHÇEŞEHİR ÜNİVERSİTESİ (İSTANBUL),Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),Bilgisayar Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,38.0,,,480.28675,31540.0
105590138,İSTANBUL TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),Bilgisayar Mühendisliği,999.0,KIBRIS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,345.65568,182781.0
105590138,İSTANBUL TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),Bilgisayar Mühendisliği,999.0,KIBRIS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,25.0,,,0.0,
105590138,İSTANBUL TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),Bilgisayar Mühendisliği,999.0,KIBRIS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,25.0,,,489.37305,25661.0
105590138,İSTANBUL TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),Bilgisayar Mühendisliği,999.0,KIBRIS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,25.0,,,471.42126,38519.0
300590700,YAKIN DOĞU ÜNİVERSİTESİ (KKTC-LEFKOŞA),Bilgisayar Mühendisliği (İngilizce) (Burslu),Bilgisayar Mühendisliği,999.0,KIBRIS,KKTC,,,SAY,yokatlas_api,2026-07-22,2025,,,,345.38531,183326.0
300590700,YAKIN DOĞU ÜNİVERSİTESİ (KKTC-LEFKOŞA),Bilgisayar Mühendisliği (İngilizce) (Burslu),Bilgisayar Mühendisliği,999.0,KIBRIS,KKTC,,,SAY,yokatlas_api,2026-07-22,2024,20.0,,,336.33446,172760.0
300590700,YAKIN DOĞU ÜNİVERSİTESİ (KKTC-LEFKOŞA),Bilgisayar Mühendisliği (İngilizce) (Burslu),Bilgisayar Mühendisliği,999.0,KIBRIS,KKTC,,,SAY,yokatlas_api,2026-07-22,2023,,,,0.0,
300590700,YAKIN DOĞU ÜNİVERSİTESİ (KKTC-LEFKOŞA),Bilgisayar Mühendisliği (İngilizce) (Burslu),Bilgisayar Mühendisliği,999.0,KIBRIS,KKTC,,,SAY,yokatlas_api,2026-07-22,2022,,,,323.75694,229529.0
100990081,AMASYA ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,5.0,AMASYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,345.22523,183665.0
100990081,AMASYA ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,5.0,AMASYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,75.0,,,333.8782,177523.0
100990081,AMASYA ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,5.0,AMASYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,75.0,,,377.39304,141348.0
100990081,AMASYA ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,5.0,AMASYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,70.0,,,353.7676,169505.0
101690093,BARTIN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,74.0,BARTIN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,344.84847,184431.0
101690093,BARTIN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,74.0,BARTIN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,85.0,,,330.89602,183730.0
101690093,BARTIN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,74.0,BARTIN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,85.0,,,384.95889,130451.0
101690093,BARTIN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,74.0,BARTIN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,80.0,,,362.19775,155768.0
108911214,SELÇUK ÜNİVERSİTESİ (KONYA),Bilgisayar Mühendisliği (M.T.O.K.),Bilgisayar Mühendisliği,42.0,KONYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,344.81734,184500.0
108911214,SELÇUK ÜNİVERSİTESİ (KONYA),Bilgisayar Mühendisliği (M.T.O.K.),Bilgisayar Mühendisliği,42.0,KONYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,21.0,,,315.89163,218888.0
108911214,SELÇUK ÜNİVERSİTESİ (KONYA),Bilgisayar Mühendisliği (M.T.O.K.),Bilgisayar Mühendisliği,42.0,KONYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,21.0,,,359.80557,170081.0
108911214,SELÇUK ÜNİVERSİTESİ (KONYA),Bilgisayar Mühendisliği (M.T.O.K.),Bilgisayar Mühendisliği,42.0,KONYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,16.0,,,342.17587,190287.0
200300234,AVRASYA ÜNİVERSİTESİ (TRABZON),Bilgisayar Mühendisliği (Burslu),Bilgisayar Mühendisliği,61.0,TRABZON,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,,,,344.32396,185521.0
200300234,AVRASYA ÜNİVERSİTESİ (TRABZON),Bilgisayar Mühendisliği (Burslu),Bilgisayar Mühendisliği,61.0,TRABZON,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,5.0,1.0,1.0,0.0,
200300234,AVRASYA ÜNİVERSİTESİ (TRABZON),Bilgisayar Mühendisliği (Burslu),Bilgisayar Mühendisliği,61.0,TRABZON,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,5.0,,,422.03249,85500.0
